Datasett hentet fra;https://hnygard.github.io/norsk-lovtidend/;@hallny / Norske-postlister.no;Kilde;https://lovdata.no/register/lovtidend;Data hentet;11.02.2020 20:54:07

kunngjort;dato;korttittel;url;title;departement;ikrafttredelse;endrer;journalnr;gjelder for;hjemmel;rettet;
06.01.2020   kl. 16.00;FOR-2019-12-18-2109;Endr. i aktivitetsforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-18-2109;Forskrift om endring i forskrift om utføring av aktiviteter i petroleumsvirksomheten;Klima- og miljødepartementet;01.01.2020;FOR-2010-04-29-613;2019-1271;Norge;LOV-1996-11-29-72-§10-18, LOV-2005-06-17-62-§1-3, LOV-2005-06-17-62-§2-2, LOV-2005-06-17-62-§3-2, LOV-2005-06-17-62-§3-3, LOV-2005-06-17-62-§3-5, LOV-2005-06-17-62-§4-2, LOV-2005-06-17-62-§4-3, LOV-2005-06-17-62-§4-5, LOV-2005-06-17-62-§4-6, LOV-1981-03-13-6-§9, LOV-1981-03-13-6-§40, LOV-1981-03-13-6-§42, FOR-2010-02-12-158-§68;;
06.01.2020   kl. 16.00;FOR-2019-12-17-2108;Endr. i rettsgebyrforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-17-2108;Forskrift om endring i rettsgebyrforskriften;Justis- og beredskapsdepartementet;01.01.2020;FOR-1983-02-15-86;2019-1401;Norge;LOV-1982-12-17-86-§1;;
03.01.2020   kl. 14.55;FOR-2019-12-20-2099;Endr. i FSFIN Forskrift til skatteloven;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2099;Forskrift om endring i forskrift til utfylling og gjennomføring mv. av skatteloven av 26. mars 1999 nr. 14;Finansdepartementet;20.12.2019, med virkning fra og med inntektsåret 2019;FOR-1999-11-19-1158;2019-1393;Norge;LOV-1999-03-26-14-§6-41;;
03.01.2020   kl. 14.55;FOR-2019-12-20-2098;Forskrift om avgiftssats for bruk av lufthavner med helikopterterminal drevet av Avinor AS i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2098;Forskrift om avgiftssats for bruk av lufthavner med helikopterterminal drevet av Avinor AS i 2020;Samferdselsdepartementet;01.01.2020;FOR-2018-11-01-1655;2019-1390;Norge;FOR-2014-12-17-1802-§10, FOR-2014-12-17-1802-§26, LOV-1993-06-11-101-§7-26, LOV-1993-06-11-101-§16-1;;
03.01.2020   kl. 14.55;FOR-2019-12-20-2097;Endr. i forskrift om registrering av skip i norsk ordinært skipsregister;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2097;Forskrift om endring i forskrift om registrering av skip i Norsk ordinært Skipsregister;Nærings- og fiskeridepartementet;01.01.2020;FOR-1992-07-30-593;2019-1388;Norge;LOV-1994-06-24-39-§7, LOV-1994-06-24-39-§11, LOV-1994-06-24-39-§13, LOV-1994-06-24-39-§14, LOV-1994-06-24-39-§15, LOV-1994-06-24-39-§16, LOV-1994-06-24-39-§38, FOR-2008-02-15-156, FOR-2013-12-13-1455;;
03.01.2020   kl. 14.55;FOR-2019-12-20-2096;Endr. i Sjøfartsdirektoratets gebyrtariff;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2096;Forskrift om endring i forskrift om gebyr for tjenester som utføres av Sjøfartsdirektoratet (Sjøfartsdirektoratets gebyrtariff);Nærings- og fiskeridepartementet;01.01.2020;FOR-2009-12-21-1738;2019-1387;Norge;LOV-2007-02-16-9-§2, LOV-2007-02-16-9-§3, LOV-2007-02-16-9-§4, LOV-2007-02-16-9-§6, LOV-2007-02-16-9-§10, LOV-2007-02-16-9-§48, FOR-2007-02-16-171, LOV-1998-06-26-47-§20, LOV-1998-06-26-47-§21, LOV-1998-06-26-47-§26a, FOR-1998-11-27-1095, LOV-1994-06-24-39-§198, FOR-2013-12-09-1552;;
03.01.2020   kl. 14.55;FOR-2019-12-20-2095;Habilitetsregelverket;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2095;Utfyllende bestemmelser om habilitet mv. for medlemmene av Norges Banks hovedstyre og komité for pengepolitikk og finansiell stabilitet (habilitetsregelverket);Finansdepartementet;01.01.2020;FOR-2000-08-07-809;2019-1378;Norge;LOV-2019-06-21-31-§2-3, LOV-2019-06-21-31-§2-6;;
03.01.2020   kl. 14.55;FOR-2019-12-19-2094;Endr. i forskrift om utøvelse av fisket i sjøen;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2094;Forskrift om endring i forskrift om utøvelse av fisket i sjøen;Nærings- og fiskeridepartementet;01.01.2020;FOR-2004-12-22-1878;2019-1389;Norge;LOV-2008-06-06-37-§16, FOR-2004-12-22-1878-§98;;
03.01.2020   kl. 14.55;FOR-2019-12-11-2093;Forskrift om høyere yrkesfaglig utdanning ved Fredrikstad FagAkademi;https://lovdata.no/dokument/LTI/forskrift/2019-12-11-2093;Forskrift om høyere yrkesfaglig utdanning ved Fredrikstad FagAkademi;Kunnskapsdepartementet;17.12.2019;;2019-1379;Norge;LOV-2018-06-08-28-§16, LOV-2018-06-08-28-§20, LOV-2018-06-08-28-§21, LOV-2018-06-08-28-§23, LOV-2018-06-08-28-§24;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2092;Endr. i forskrift om registrering av skip i NIS;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2092;Forskrift om endring i forskrift om registrering av skip i Norsk Internasjonalt Skipsregister (NIS);Nærings- og fiskeridepartementet;01.01.2020;FOR-1992-07-30-592;2019-1383;Norge;LOV-1987-06-12-48-§2, LOV-1987-06-12-48-§3, LOV-1987-06-12-48-§5, LOV-1987-06-12-48-§9, LOV-1987-06-12-48-§12, LOV-1994-06-24-39-§7, LOV-1994-06-24-39-§11, LOV-1994-06-24-39-§13, LOV-1994-06-24-39-§14, LOV-1994-06-24-39-§15, LOV-1994-06-24-39-§16, LOV-1994-06-24-39-§38, FOR-1992-05-15-324, FOR-2008-02-15-157, FOR-2013-12-13-1455;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2091;Forskrift om fisket etter bunnfisk i Færøyenes fiskerisone i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2091;Forskrift om regulering av fisket etter bunnfisk i Færøyenes fiskerisone i 2020;Nærings- og fiskeridepartementet;01.01.2020 - 31.12.2020;;2019-1382;Norge;LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§16, LOV-1999-03-26-15-§20, LOV-1999-03-26-15-§21, FOR-2000-02-11-99, FOR-2001-10-16-4686;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2090;Forskrift om fisket etter leppefisk i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2090;Forskrift om regulering av fisket etter leppefisk i 2020;Nærings- og fiskeridepartementet;01.01.2020 - 31.12.2020;;2019-1381;Norge;LOV-2008-06-06-37-§11, LOV-2008-06-06-37-§12, LOV-2008-06-06-37-§16, LOV-2008-06-06-37-§22, LOV-2008-06-06-37-§23, LOV-2008-06-06-37-§39, LOV-2008-06-06-37-§59, FOR-2001-10-16-4686;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2089;Forskrift om forbud mot fisket etter lodde i Barentshavet i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2089;Forskrift om forbud mot fisket etter lodde i Barentshavet i 2020;Nærings- og fiskeridepartementet;01.01.2020 - 31.12.2020;;2019-1380;Norge;LOV-2008-06-06-37-§16, FOR-2001-10-16-4686;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2088;Forskrift om avgifter til folketrygden for misjonærer mv. i 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2088;Forskrift om avgifter til folketrygden for året 2020 for misjonærer mv. som er opptatt i folketrygden i medhold av folketrygdloven § 2-8;Arbeids- og sosialdepartementet;20.12.2019, med virkning fra 01.01.2020;FOR-2018-12-20-2178;2019-1377;Norge;FOR-2019-12-13-1822, LOV-1997-02-28-19-§23-4;03.01.2020 (§ 3 3);
02.01.2020   kl. 15.50;FOR-2019-12-20-2087;Forskrift om avgifter til folketrygden for året 2020 for arbeidstakere utsendt til Norge fra Amerikas forente stater og Canada;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2087;Forskrift om avgifter til folketrygden for året 2020 for arbeidstakere utsendt til Norge fra Amerikas forente stater og Canada;Arbeids- og sosialdepartementet;20.12.2019, med virkning fra 01.01.2020;FOR-2018-12-20-2177;2019-1376;Norge;FOR-2019-12-13-1822, LOV-1997-02-28-19-§23-4;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2086;Forskrift om avgiftsgrunnlag og avgiftssatser i folketrygden, 2020;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2086;Forskrift om fastsettelse av avgiftsgrunnlag og avgiftssatser i folketrygden for visse grupper medlemmer for året 2020;Arbeids- og sosialdepartementet;20.12.2019, med virkning fra 01.01.2020;FOR-2018-12-20-2176;2019-1375;Norge;FOR-2019-12-13-1822, LOV-1997-02-28-19-§23-4;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2085;Endr. i forskrift om HMS-kort på bygge- og anleggsplasser;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2085;Forskrift om endring i forskrift om HMS-kort på bygge- og anleggsplasser;Arbeids- og sosialdepartementet;01.01.2020;FOR-2007-03-30-366;2019-1373;Norge;LOV-2005-06-17-62-§1-4, LOV-2005-06-17-62-§4-1;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2084;Endr. i forskrift om godkjenning av renholdsvirksomheter m.m.;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2084;Forskrift om endring i forskrift om offentlig godkjenning av renholdsvirksomheter og om kjøp av renholdstjenester;Arbeids- og sosialdepartementet;01.01.2020;FOR-2012-05-08-408;2019-1371;Norge;LOV-2005-06-17-62-§1-4, LOV-2005-06-17-62-§4-1;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2083;Endr. i tiltaksforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2083;Forskrift om endring i tiltaksforskriften;Arbeids- og sosialdepartementet;01.01.2020;FOR-2015-12-11-1598;2019-1370;Norge;LOV-2004-12-10-76-§13;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2082;Forskrift om regionale tilskudd til næringsutvikling, rekruttering og kompetanseheving i landbruket;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2082;Forskrift om regionale tilskudd til næringsutvikling, rekruttering og kompetanseheving i landbruket;Landbruks- og matdepartementet;01.01.2020;;2019-1369;Norge;LOV-1995-05-12-23-§3, LOV-1995-05-12-23-§18;;
02.01.2020   kl. 15.50;FOR-2019-12-20-2081;Endr. i RÅK-tilskuddsforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-20-2081;Forskrift om endring i forskrift om råvareprisutjevning for bearbeidede jordbruksvarer;Landbruks- og matdepartementet;01.01.2020;FOR-2009-06-10-636;2019-1367;Norge;LOV-1995-05-12-23-§18;;
02.01.2020   kl. 15.50;FOR-2019-12-19-2080;Endr. i skattebetalingsforskriften;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2080;Forskrift om endring i forskrift til utfylling og gjennomføring mv. av skattebetalingsloven (skattebetalingsforskriften);Finansdepartementet;19.12.2019 med virkning fra og med inntekståret 2020 og 01.01.2019;FOR-2007-12-21-1766;2019-1384;Norge;LOV-2005-06-17-67-§5-3, LOV-2005-06-17-67-§5-5, LOV-2005-06-17-67-§5-6, LOV-2005-06-17-67-§5-8, FOR-2007-12-21-1766-§5;;
02.01.2020   kl. 15.50;FOR-2019-12-19-2079;Endr. i forskrift om flyselskaper med driftsforbud;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2079;Forskrift om endring i forskrift om flyselskaper som er underlagt driftsforbud og om plikt til å informere passasjerene om identiteten til det flyselskap som skal utføre en flyreise;Samferdselsdepartementet;19.12.2019;FOR-2007-12-04-1353;2019-1374;Norge;LOV-1993-06-11-101-§9-1, LOV-1993-06-11-101-§10-42, LOV-1993-06-11-101-§15-3, LOV-1993-06-11-101-§15-4, LOV-1993-06-11-101-§16-1, FOR-2007-12-04-1353-§3;;
02.01.2020   kl. 15.50;FOR-2019-12-19-2078;Endr. i forskrifter om gebyr i matforvaltningen;https://lovdata.no/dokument/LTI/forskrift/2019-12-19-2078;Forskrift om endring i forskrifter om gebyr i matforvaltningen;Nærings- og fiskeridepartementet, Helse- og omsorgsdepartementet, Landbruks- og matdepartementet;01.01.2020;FOR-2004-01-28-221, FOR-2005-12-27-1726, FOR-2017-03-18-355, FOR-2002-07-05-698, FOR-2008-12-22-1624, FOR-2008-12-22-1621, FOR-2010-03-03-307, FOR-2011-03-30-338, FOR-2012-01-12-35, FOR-2014-09-02-1140, FOR-2014-09-02-1141, FOR-2017-02-20-203, FOR-2015-02-25-161, FOR-2017-04-03-426, FOR-1993-08-06-832;2019-1368;Norge;LOV-2003-12-19-124-§21, FOR-2003-12-19-1790, LOV-1993-03-12-32-§26, FOR-1993-05-14-345;07.01.2020 (del VII § 3 bokstav b);
02.01.2020   kl. 15.50;FOR-2019-12-18-2077;Opph. av forskrift om notering av valutakurser;https://lovdata.no/dokument/LTI/forskrift/2019-12-18-2077;Forskrift om opphevelse av forskrift om Norges Banks notering av markedskurser for valuta uttrykt i norske kroner;Finansdepartementet;01.01.2020;FOR-2001-08-08-914;2019-1344;Norge;LOV-1985-05-24-28-§24, FOR-1989-12-22-1274, FOR-1991-08-19-602;;
